Date,Review,Review Lemma,Topics,Names,Representation,Representative_Docs,Positive,Neutral,Negative
19 de novembro de 2023,"Quem me atendeu foi o garçom Mateus, que foi muito atencioso e educado! Nos ajudou nos indicando pratos e bebidas",atender garçom muito atencioso educar ajudar indicar prato bebida,4,4_bebida_drink_bom_atendimento,"['bebida', 'drink', 'bom', 'atendimento', 'muito', 'cerveja', 'comer', 'gelar', 'ambiente', 'excelente']","['lugar comida muito gostoso drink excelente ambiente muito bom atendimento muito bom', 'muito recomendar bom lugar bebida excelente comida maravilhoso bom preço bom atendimento', 'ambiente maravilhoso agradável bom atendimento bebida bom comer delicioso recomendar']",0.9289231300354004,0.02396225742995739,0.047114647924900055
19 de novembro de 2023,"Lugar e pessoas muito gentis e educadas. Fomos atendidos por um garçom incrível, Mateus. Vamos voltar sem dúvidas!",lugar pessoa muito gentis educar atender garçom incrível voltar dúvida,1,1_muito_bom_atendimento_ambiente,"['muito', 'bom', 'atendimento', 'ambiente', 'lugar', 'excelente', 'comida', 'comer', 'maravilhoso', 'agradável']","['experiência incrível comer ótimo lugar super animar atendimento maravilhoso valer muito conhecer lugar decoração temático muito legal', 'lugar muito agradável curtir amigo bom atendimento comer muito bom recomendar muito', 'muito bom local excelente atendimento comer muito bom atendente muito animar atencioso recomendar']",0.48704472184181213,0.07418028265237808,0.43877503275871277
16 de novembro de 2023,"Ambiente agradável, atendimento nota 10, cozinha maravilhosa, chopp gelado, drinks maravilhosos, música ótima, tudo com tempero mexicano",ambiente agradável atendimento notar cozinha maravilhoso chopp gelar drink maravilhoso música ótimo tempero Mexicano,0,0_mexicano_guacamole_comida_restaurante,"['mexicano', 'guacamole', 'comida', 'restaurante', 'mais', 'bom', 'muito', 'ter', 'bem', 'ambiente']","['comer excelente ambiente bem característico música mariachis animar restaurante tocar música típico atendimento muito bom ainda mais inovação colocar tablet mesa fazer pedido bom lugar não só comer comida mexicano também mais', 'americano já comi comida mexicano restaurante mexicano restaurante guacamole ter bom ambiente bom comida já experimentar ficar atento ter pagar música música ótimo parte mais', 'ambiente bem legal mariachi bem divertido não gostar comida mexicano não ter opção']",0.9592284560203552,0.019830048084259033,0.02094154618680477
12 de novembro de 2023,"Comida boa, rodízio completo porém muiiiiiita demora entre um prato e outro, o atendimento é bom, pessoal simpático.",comida boa rodízio completo muiiiiiitar demor prato atendimento bom pessoal simpático,1,1_muito_bom_atendimento_ambiente,"['muito', 'bom', 'atendimento', 'ambiente', 'lugar', 'excelente', 'comida', 'comer', 'maravilhoso', 'agradável']","['experiência incrível comer ótimo lugar super animar atendimento maravilhoso valer muito conhecer lugar decoração temático muito legal', 'lugar muito agradável curtir amigo bom atendimento comer muito bom recomendar muito', 'muito bom local excelente atendimento comer muito bom atendente muito animar atencioso recomendar']",0.752451479434967,0.05040055885910988,0.19714799523353577
11 de novembro de 2023,"Excelente atendimento, amei a experiência! 
Rodízio com bastante variedade e comida deliciosa, só tenho a agradecer",excelente atendimento ameir experiência rodízio bastante variedade comer delicioso só ter agradecer,1,1_muito_bom_atendimento_ambiente,"['muito', 'bom', 'atendimento', 'ambiente', 'lugar', 'excelente', 'comida', 'comer', 'maravilhoso', 'agradável']","['experiência incrível comer ótimo lugar super animar atendimento maravilhoso valer muito conhecer lugar decoração temático muito legal', 'lugar muito agradável curtir amigo bom atendimento comer muito bom recomendar muito', 'muito bom local excelente atendimento comer muito bom atendente muito animar atencioso recomendar']",0.9904220104217529,0.005675188731402159,0.0039028029423207045
6 de novembro de 2023,Pegamos o rodízio. A comida estava muito gostosa e os atendentes são muito atenciosos com os clientes. Voltarei com certeza!,pegar rodízio comida muito gostoso atendente muito atencioso cliente voltarei certeza,1,1_muito_bom_atendimento_ambiente,"['muito', 'bom', 'atendimento', 'ambiente', 'lugar', 'excelente', 'comida', 'comer', 'maravilhoso', 'agradável']","['experiência incrível comer ótimo lugar super animar atendimento maravilhoso valer muito conhecer lugar decoração temático muito legal', 'lugar muito agradável curtir amigo bom atendimento comer muito bom recomendar muito', 'muito bom local excelente atendimento comer muito bom atendente muito animar atencioso recomendar']",0.9122679829597473,0.02783636748790741,0.05989561602473259
4 de novembro de 2023,"Atendimento perfeito,tudo ótimo. Comida boa,lugar agradável. Bebidas boas, atendentes perfeitos ♥️♥️♥️✨",atendimento perfeito bom comida bom lugar agradável bebida bom atendente perfeito ♥ ️ ️ ️,4,4_bebida_drink_bom_atendimento,"['bebida', 'drink', 'bom', 'atendimento', 'muito', 'cerveja', 'comer', 'gelar', 'ambiente', 'excelente']","['lugar comida muito gostoso drink excelente ambiente muito bom atendimento muito bom', 'muito recomendar bom lugar bebida excelente comida maravilhoso bom preço bom atendimento', 'ambiente maravilhoso agradável bom atendimento bebida bom comer delicioso recomendar']",0.8713461756706238,0.041994575411081314,0.08665936440229416
1 de novembro de 2023,"Experiência completa incrível, comida gostosa e serviço impecável. Recomendo para todos aproveitarem um momento especial.",experiência completo incrível comer gostoso serviço impecável recomendo aproveitar momento especial,1,1_muito_bom_atendimento_ambiente,"['muito', 'bom', 'atendimento', 'ambiente', 'lugar', 'excelente', 'comida', 'comer', 'maravilhoso', 'agradável']","['experiência incrível comer ótimo lugar super animar atendimento maravilhoso valer muito conhecer lugar decoração temático muito legal', 'lugar muito agradável curtir amigo bom atendimento comer muito bom recomendar muito', 'muito bom local excelente atendimento comer muito bom atendente muito animar atencioso recomendar']",0.8836683630943298,0.049628935754299164,0.06670275330543518
1 de novembro de 2023,"Ótimo ambiente, comida e atendimento! 

Tudo muito animado, músicas e artistas temáticos com bastante energia!",bom ambiente comer atendimento muito animar música artista temático bastante energia,2,2_música_bom_ambiente_muito,"['música', 'bom', 'ambiente', 'muito', 'atendimento', 'musica', 'comida', 'animar', 'comer', 'excelente']","['atendimento excelente bom comida ambiente divertido música agradável valer pena conhecer', 'ambiente muito agradável música bom excelente atendimento comida boa chegar bem rápido muito atencioso', 'excelente atendimento comida bom ambiente muito agradável aconchegante música qualidade animar']",0.9502102136611938,0.018030256032943726,0.03175947070121765
29 de outubro de 2023,"Lugar aconchegante e mágico. Os músicos são maravilhosos, ambiente mexicano e a comida deliciosa e super recomendo.",lugar aconchegante mágico músico maravilhoso ambiente mexicano comida delicioso super recomer,0,0_mexicano_guacamole_comida_restaurante,"['mexicano', 'guacamole', 'comida', 'restaurante', 'mais', 'bom', 'muito', 'ter', 'bem', 'ambiente']","['comer excelente ambiente bem característico música mariachis animar restaurante tocar música típico atendimento muito bom ainda mais inovação colocar tablet mesa fazer pedido bom lugar não só comer comida mexicano também mais', 'americano já comi comida mexicano restaurante mexicano restaurante guacamole ter bom ambiente bom comida já experimentar ficar atento ter pagar música música ótimo parte mais', 'ambiente bem legal mariachi bem divertido não gostar comida mexicano não ter opção']",0.8955588340759277,0.028902525082230568,0.07553862035274506
29 de outubro de 2023,"sim bem boaAlém das diretrizes gerais da comunidade, temos diretrizes específicas para a publicação de avaliações. As avaliações são publicadas no perfil de estabelecimentos e associadas a uma pontuação por círculos de 1 a 5. As pontuações afetam a posição no ranking de popularidade do...Mais",sim bem boaalém diretriz geral comunidade ter diretriz específica publicação avaliação avaliação publicar perfil estabelecimento associar pontuação círculo pontuação afetar posição ranking popularidade mais,7,7_não_mais_chegar_fila,"['não', 'mais', 'chegar', 'fila', 'restaurante', 'hora', 'ter', 'demorar', 'esperar', 'pedir']","['comida saboroso ambiente muito divertido restaurante ter atendimento ruim garçon gente bem tentar atender não dar conta bebida demor muito chegar comida apesar saboroso chegar frio provavelmente ficar mais', 'não aconselho muito mal servir hora garçom não chegar esquecer pedir prato muito mal preparar vir comida frio pessoa mesa esperar prato cardápio fajita mix mais', 'mau atendimento ver extremamente confuso ficar mais hora fila comemorar aniversario conseguir mesa péssimo atender tivemo chamar garçom bar comida chegar fria prato sequer chegar terceiro mais']",0.8310915231704712,0.07710563391447067,0.09180288016796112
28 de outubro de 2023,"Amei a experiência, ótimo ambiente, divertido para ir com amigos e familia,  atendimento excelente do Breno",ameir experiência ótimo ambiente divertido ir amigo familia atendimento excelente breno,1,1_muito_bom_atendimento_ambiente,"['muito', 'bom', 'atendimento', 'ambiente', 'lugar', 'excelente', 'comida', 'comer', 'maravilhoso', 'agradável']","['experiência incrível comer ótimo lugar super animar atendimento maravilhoso valer muito conhecer lugar decoração temático muito legal', 'lugar muito agradável curtir amigo bom atendimento comer muito bom recomendar muito', 'muito bom local excelente atendimento comer muito bom atendente muito animar atencioso recomendar']",0.9748522043228149,0.015195053070783615,0.009952731430530548
28 de outubro de 2023,"Maravilha tudo de bom 
Amei! Tudo perfeito, deejay uma maravilha garçom também meus amigos amaram muito",maravilhar bom ameir perfeito deejay maravilha garçom também amigo amar muito,1,1_muito_bom_atendimento_ambiente,"['muito', 'bom', 'atendimento', 'ambiente', 'lugar', 'excelente', 'comida', 'comer', 'maravilhoso', 'agradável']","['experiência incrível comer ótimo lugar super animar atendimento maravilhoso valer muito conhecer lugar decoração temático muito legal', 'lugar muito agradável curtir amigo bom atendimento comer muito bom recomendar muito', 'muito bom local excelente atendimento comer muito bom atendente muito animar atencioso recomendar']",0.9668821692466736,0.011401252821087837,0.02171647921204567
26 de outubro de 2023,amei!!!!,ameir,9,9_amigo_local_ameir_atendimento,"['amigo', 'local', 'ameir', 'atendimento', 'bebida', 'lover', 'vitor', 'saber', 'cris', 'mal']","['lixo assim resumar atendimento guacamole barra tentativa entrar ficar esperar lentidão checkin pessoa frente chameir garçom reclamar frio resumir ser não voltar mais.mal', 'hoje vir amigo vitor maria vitor iago sarah homsi vitorio juliano tanaka fefar mt divertido comer carne queijo nacho brincamo rir veraaaaaa nunca antesss ainda bebi cervejo', 'sábado dia 25/05/19 guacamole esposo ter fila porta pedir colocar nome lista espera organizador fila dizer não ter mesa pessoa somente mais falar aguardar liberar mais']",0.6883858442306519,0.12032997608184814,0.1912842094898224
23 de outubro de 2023,"Rodízio excelente, bastante opções e excelente atendimento. A opção de bebida também estava muito saborosa.",rodízio excelente bastante opção excelente atendimento opção bebida também muito saboroso,4,4_bebida_drink_bom_atendimento,"['bebida', 'drink', 'bom', 'atendimento', 'muito', 'cerveja', 'comer', 'gelar', 'ambiente', 'excelente']","['lugar comida muito gostoso drink excelente ambiente muito bom atendimento muito bom', 'muito recomendar bom lugar bebida excelente comida maravilhoso bom preço bom atendimento', 'ambiente maravilhoso agradável bom atendimento bebida bom comer delicioso recomendar']",0.984527587890625,0.011134999804198742,0.0043374462984502316
20 de outubro de 2023,"Otimo! Adorei a experiência! Foi tudo maravilhoso e delicioso. Mas os preços são um pouco altos, mas tudo ótima qualidade",otimo adorar experiência maravilhoso delicioso preço pouco alto ótimo qualidade,1,1_muito_bom_atendimento_ambiente,"['muito', 'bom', 'atendimento', 'ambiente', 'lugar', 'excelente', 'comida', 'comer', 'maravilhoso', 'agradável']","['experiência incrível comer ótimo lugar super animar atendimento maravilhoso valer muito conhecer lugar decoração temático muito legal', 'lugar muito agradável curtir amigo bom atendimento comer muito bom recomendar muito', 'muito bom local excelente atendimento comer muito bom atendente muito animar atencioso recomendar']",0.9674761295318604,0.014256268739700317,0.01826760359108448
8 de outubro de 2023,"Lugar muito bom e agradável, comida boa e atendimento muito bom, os atendentes são simpáticos, voltaria mais vezes",lugar muito bom agradável comida bom atendimento muito bom atendente simpático voltar mais vez,1,1_muito_bom_atendimento_ambiente,"['muito', 'bom', 'atendimento', 'ambiente', 'lugar', 'excelente', 'comida', 'comer', 'maravilhoso', 'agradável']","['experiência incrível comer ótimo lugar super animar atendimento maravilhoso valer muito conhecer lugar decoração temático muito legal', 'lugar muito agradável curtir amigo bom atendimento comer muito bom recomendar muito', 'muito bom local excelente atendimento comer muito bom atendente muito animar atencioso recomendar']",0.8766725659370422,0.025855664163827896,0.09747175872325897
2 de outubro de 2023,"Restaurante agradável, fomos muito bem atendidos. Os pedidos vieram rápido e a comida estava bem gostsa.",restaurante agradável muito bem atendido pedido vier rápido comida bem gostsa,5,5_restaurante_bom_muito_atendimento,"['restaurante', 'bom', 'muito', 'atendimento', 'comida', 'recomendar', 'bem', 'excelente', 'super', 'qualidade']","['restaurante animar bom atendimento comer delicioso ambiente agradável divertido ir amigo', 'excelente restaurante muito animar comida ótimo atendimento excelente drink muito bom também', 'restaurante grupo amigo comida muito bom atendimento incrível recomendar']",0.4345450699329376,0.0898352861404419,0.47561973333358765
23 de setembro de 2023,Garçom muito atencioso e sabe balançar a cabeça muito bem. Comida deliciosa. Ambiente muito agradável.,garçom muito atencioso saber balançar cabeça muito bem comida delicioso ambiente muito agradável,1,1_muito_bom_atendimento_ambiente,"['muito', 'bom', 'atendimento', 'ambiente', 'lugar', 'excelente', 'comida', 'comer', 'maravilhoso', 'agradável']","['experiência incrível comer ótimo lugar super animar atendimento maravilhoso valer muito conhecer lugar decoração temático muito legal', 'lugar muito agradável curtir amigo bom atendimento comer muito bom recomendar muito', 'muito bom local excelente atendimento comer muito bom atendente muito animar atencioso recomendar']",0.837526261806488,0.03757895156741142,0.12489475309848785
19 de setembro de 2023,"Excelente atendimento dos funcionários, em especial o Matheus, gostamos muito das músicas, tudo muito bom.",excelente atendimento funcionário especial matheu gostar muito música muito bom,2,2_música_bom_ambiente_muito,"['música', 'bom', 'ambiente', 'muito', 'atendimento', 'musica', 'comida', 'animar', 'comer', 'excelente']","['atendimento excelente bom comida ambiente divertido música agradável valer pena conhecer', 'ambiente muito agradável música bom excelente atendimento comida boa chegar bem rápido muito atencioso', 'excelente atendimento comida bom ambiente muito agradável aconchegante música qualidade animar']",0.9850290417671204,0.00849091075360775,0.006480127573013306
18 de setembro de 2023,Lugar muito legal para curtir a noite de aniversário com a família e com os amigos fazer fotos incríveis que servirá de recordação por um momento especial,lugar muito legal curtir noite aniversário família amigo fazer foto incrível servir recordação momento especial,3,3_aniversário_comemorar_amigo_muito,"['aniversário', 'comemorar', 'amigo', 'muito', 'bom', 'lugar', 'ambiente', 'amiga', 'mais', 'atendimento']","['bom local comemorar aniversário decoração muito bonito bom atendimento ambiente animar', 'comida maravilhoso ambiente atendimento muito agradável amigo comemorar aniversário super bem atendir', 'muito bom bom atendimento local perfeito comemorar aniversário amigo família']",0.5713858604431152,0.15597783029079437,0.2726363241672516
15 de setembro de 2023,"Bom lugar para socializar, som ambiente com muita alegria por parte das atrações. Super indico a todos!",bom lugar socializar som ambiente alegria parte atração super indico,1,1_muito_bom_atendimento_ambiente,"['muito', 'bom', 'atendimento', 'ambiente', 'lugar', 'excelente', 'comida', 'comer', 'maravilhoso', 'agradável']","['experiência incrível comer ótimo lugar super animar atendimento maravilhoso valer muito conhecer lugar decoração temático muito legal', 'lugar muito agradável curtir amigo bom atendimento comer muito bom recomendar muito', 'muito bom local excelente atendimento comer muito bom atendente muito animar atencioso recomendar']",0.9695330262184143,0.01463000662624836,0.01583699695765972
12 de setembro de 2023,"Apresentação de drinks e uma atendimento de excepcional! 
Matheus foi muito atencioso e nos fez degustar bastantes da culinária mexicana!",apresentação drink atendimento excepcional matheu muito atencioso fazer degustar bastante culinária mexicano,0,0_mexicano_guacamole_comida_restaurante,"['mexicano', 'guacamole', 'comida', 'restaurante', 'mais', 'bom', 'muito', 'ter', 'bem', 'ambiente']","['comer excelente ambiente bem característico música mariachis animar restaurante tocar música típico atendimento muito bom ainda mais inovação colocar tablet mesa fazer pedido bom lugar não só comer comida mexicano também mais', 'americano já comi comida mexicano restaurante mexicano restaurante guacamole ter bom ambiente bom comida já experimentar ficar atento ter pagar música música ótimo parte mais', 'ambiente bem legal mariachi bem divertido não gostar comida mexicano não ter opção']",0.8623359203338623,0.035136979073286057,0.10252704471349716
5 de setembro de 2023,"Otimo local,bem temático, serviço otimo.
Super recomendo tanto para familia quanto para amigos. Bebidas maravilhosas.",otimo local bem temático serviço otimo super recomendar tanto familia quanto amigo bebida maravilhoso,4,4_bebida_drink_bom_atendimento,"['bebida', 'drink', 'bom', 'atendimento', 'muito', 'cerveja', 'comer', 'gelar', 'ambiente', 'excelente']","['lugar comida muito gostoso drink excelente ambiente muito bom atendimento muito bom', 'muito recomendar bom lugar bebida excelente comida maravilhoso bom preço bom atendimento', 'ambiente maravilhoso agradável bom atendimento bebida bom comer delicioso recomendar']",0.9708809852600098,0.014374815858900547,0.014744242653250694
1 de setembro de 2023,"Ótimo local, banda super animada, garçons super solícitos, comida boa, vale conhecer e apreciar o ambiente",bom local banda super animar garçons super solícito comida boa valer conhecer apreciar ambiente,2,2_música_bom_ambiente_muito,"['música', 'bom', 'ambiente', 'muito', 'atendimento', 'musica', 'comida', 'animar', 'comer', 'excelente']","['atendimento excelente bom comida ambiente divertido música agradável valer pena conhecer', 'ambiente muito agradável música bom excelente atendimento comida boa chegar bem rápido muito atencioso', 'excelente atendimento comida bom ambiente muito agradável aconchegante música qualidade animar']",0.9798261523246765,0.010572009719908237,0.009601933881640434
29 de agosto de 2023,"Lugar lindo, comida impecável e atendimento incrível prestado pelas colaboradoras Maria e Glória! Excelente custo benefício! Recomendamos!",lugar lir comida impecável atendimento incrível prestar colaboradora glória excelente custo benefício recomendar,1,1_muito_bom_atendimento_ambiente,"['muito', 'bom', 'atendimento', 'ambiente', 'lugar', 'excelente', 'comida', 'comer', 'maravilhoso', 'agradável']","['experiência incrível comer ótimo lugar super animar atendimento maravilhoso valer muito conhecer lugar decoração temático muito legal', 'lugar muito agradável curtir amigo bom atendimento comer muito bom recomendar muito', 'muito bom local excelente atendimento comer muito bom atendente muito animar atencioso recomendar']",0.9367669820785522,0.02343251183629036,0.03980042785406113
29 de agosto de 2023,"Espaço maravilhoso , com músicas temáticas e apresentações individuais de mesa em mesa,   ótimo atendimento e colaboradores extremamente atenciosos e prestativos.  Vale a pena a visita.",espaço maravilhoso música temático apresentação individual mesa mesa bom atendimento colaborador extremamente atencioso prestativo valer pena visita,2,2_música_bom_ambiente_muito,"['música', 'bom', 'ambiente', 'muito', 'atendimento', 'musica', 'comida', 'animar', 'comer', 'excelente']","['atendimento excelente bom comida ambiente divertido música agradável valer pena conhecer', 'ambiente muito agradável música bom excelente atendimento comida boa chegar bem rápido muito atencioso', 'excelente atendimento comida bom ambiente muito agradável aconchegante música qualidade animar']",0.9598354697227478,0.015605124644935131,0.02455933392047882
29 de agosto de 2023,"O local é bem bonito, bom atendimento, mas achei pouca variedade no rodízio. Restringindo alguns pratos. O sabor poderia ser melhor tb. Apresar de ser comida mexicana quase não tem pimenta.",local bem bonito bom atendimento achar variedade rodízio restringir prato sabor poder bom apresar comida mexicano quase não ter pimentar,0,0_mexicano_guacamole_comida_restaurante,"['mexicano', 'guacamole', 'comida', 'restaurante', 'mais', 'bom', 'muito', 'ter', 'bem', 'ambiente']","['comer excelente ambiente bem característico música mariachis animar restaurante tocar música típico atendimento muito bom ainda mais inovação colocar tablet mesa fazer pedido bom lugar não só comer comida mexicano também mais', 'americano já comi comida mexicano restaurante mexicano restaurante guacamole ter bom ambiente bom comida já experimentar ficar atento ter pagar música música ótimo parte mais', 'ambiente bem legal mariachi bem divertido não gostar comida mexicano não ter opção']",0.8418301939964294,0.11038650572299957,0.04778334125876427
26 de agosto de 2023,"Lugar super divertido,comida boa, garçons espetaculares e mariates sem palavras . Voltarei 1000 vezes",lugar super divertido comida boa espetacular mariate palavra voltarei vez,1,1_muito_bom_atendimento_ambiente,"['muito', 'bom', 'atendimento', 'ambiente', 'lugar', 'excelente', 'comida', 'comer', 'maravilhoso', 'agradável']","['experiência incrível comer ótimo lugar super animar atendimento maravilhoso valer muito conhecer lugar decoração temático muito legal', 'lugar muito agradável curtir amigo bom atendimento comer muito bom recomendar muito', 'muito bom local excelente atendimento comer muito bom atendente muito animar atencioso recomendar']",0.8851743340492249,0.08467430621385574,0.030151383951306343
20 de agosto de 2023,Seria legal ter Taco recheado e opções com camarão e não vem.os.pedidos feitos e só os que vem a mesa.,legal ter taco rechear opção camarão não vem.os.pedido fazer só vir mesa,7,7_não_mais_chegar_fila,"['não', 'mais', 'chegar', 'fila', 'restaurante', 'hora', 'ter', 'demorar', 'esperar', 'pedir']","['comida saboroso ambiente muito divertido restaurante ter atendimento ruim garçon gente bem tentar atender não dar conta bebida demor muito chegar comida apesar saboroso chegar frio provavelmente ficar mais', 'não aconselho muito mal servir hora garçom não chegar esquecer pedir prato muito mal preparar vir comida frio pessoa mesa esperar prato cardápio fajita mix mais', 'mau atendimento ver extremamente confuso ficar mais hora fila comemorar aniversario conseguir mesa péssimo atender tivemo chamar garçom bar comida chegar fria prato sequer chegar terceiro mais']",0.1508679836988449,0.3833910822868347,0.4657408893108368
